recoTheta,trueTheta
17.120729,16.109706
26.101837,24.384631
7.933825,8.280149
10.114605,9.594541
16.150738,13.678187
25.348130,26.730476
32.456400,23.919802
16.666571,15.088169
7.777964,5.112589
14.958912,13.649823
7.782354,8.057053
12.383525,12.859033
4.342937,4.182730
8.063215,9.675871
21.948049,21.305471
1.399277,1.075018
8.720532,8.311605
47.858112,47.506567
33.431310,35.394288
13.712834,11.903620
9.132606,8.234851
16.076331,10.916538
22.208303,19.341623
11.593112,11.612740
5.310428,5.252626
8.394144,8.948763
8.617713,8.393489
24.242538,21.024320
10.589258,10.551466
20.660192,18.372963
17.441694,22.988021
18.157400,17.639992
41.410283,39.622503
7.874970,8.043031
17.200975,17.899787
16.134991,16.826860
17.197337,17.290226
1.248665,0.897003
10.800244,10.830837
38.304346,28.839244
23.364974,20.715564
2.535127,3.625527
14.823763,15.127098
29.332291,30.486665
7.635737,6.099533
40.226008,47.224573
21.036225,22.678422
11.462588,11.267570
9.923034,8.460115
6.503789,3.528920
2.807492,2.824523
8.166040,7.304012
19.775607,19.153500
53.977667,54.513695
19.763228,15.547025
15.615212,13.140383
20.358000,20.664635
18.124308,16.070484
21.988892,23.098563
3.304227,3.895260
61.858066,46.125063
31.445507,32.334696
22.902585,19.979351
47.612392,10.527100
13.535841,12.964063
8.954338,8.149024
59.592983,60.434683
4.519651,4.796201
42.766511,44.422934
15.584746,14.284122
7.284996,7.409918
18.078440,17.236058
8.889864,7.023449
7.187991,6.487729
13.956823,11.871125
13.978385,14.432974
2.715556,3.571880
16.129977,15.787040
17.512787,16.703373
20.427957,20.576595
17.824343,18.404303
48.521162,51.685798
11.077982,11.259563
12.628560,12.474524
7.433316,7.088117
17.260591,17.444246
16.126756,16.372106
23.066290,21.967502
11.958299,9.556499
43.809612,46.046368
7.765842,7.706273
33.658831,33.375462
6.896740,7.557774
26.366444,26.094384
8.060585,8.272296
20.408898,14.867043
25.682227,26.468128
18.968205,19.216083
6.747472,6.183613
5.276595,9.661739
7.271383,7.354954
7.679868,7.130446
19.868241,21.096347
23.873856,23.616351
16.717282,16.229983
2.462435,7.263608
50.526310,52.837321
19.748416,20.317743
54.352327,45.382440
5.495510,4.325041
19.141005,19.006097
10.628880,10.731428
12.014324,14.341548
12.320113,12.582788
3.239544,3.063691
51.107709,51.428995
11.858402,12.389559
59.072652,59.088726
17.607743,18.702454
6.261718,6.608832
13.120810,12.837471
8.337929,7.662881
8.563138,6.290552
13.650402,9.088824
32.581352,31.991454
5.654958,5.813857
0.381549,0.484971
32.968837,32.403945
14.586158,9.051823
5.834689,4.437252
41.068278,42.900860
23.681914,23.926287
11.165213,9.783637
49.994853,49.337318
41.978709,41.481179
7.325524,6.554396
6.682811,6.578616
44.695986,43.421131
12.310634,13.100590
13.678967,12.773419
53.796512,56.147189
4.510888,5.006290
3.187395,3.677008
19.693512,19.667613
24.909507,23.597854
17.293386,17.977559
10.584239,11.369399
9.054514,4.464097
41.382880,40.579623
29.079224,29.503908
19.263331,18.359892
23.795413,22.634972
45.671354,42.402399
24.519097,23.300460
11.624085,12.243018
8.438104,8.048228
4.380656,4.147135
13.395033,13.540947
3.522478,1.186632
31.336979,31.953182
23.581589,24.186910
28.625972,29.310337
21.958682,22.375795
