recoP,trueP
2.867897,2.405334
0.481100,0.350715
27.887816,0.972370
2.174673,2.096496
6.679376,7.175548
2.132911,2.143935
3.772994,1.465483
1.955213,2.066930
0.562839,0.560651
1.852139,0.678541
0.417719,0.404137
0.670599,0.715663
1.920049,2.359794
1.828324,2.643956
1.721427,2.084875
1.065350,0.972926
2.983905,4.728515
3.443666,3.286497
7.478437,7.242199
3.118461,3.278204
9.698294,7.325039
7.161512,4.689481
5.303209,3.652865
1.727998,1.651078
0.317031,0.337231
0.565167,0.546738
0.899890,0.919037
0.666757,0.636582
2.430942,2.576082
0.705931,0.733293
3.832274,4.147909
0.784612,0.810210
5.424386,5.173400
2.552172,1.802169
2.865413,2.400863
5.993704,4.279266
1.059283,1.047911
1.924059,1.887420
3.825602,3.519246
2.463131,2.494673
0.561498,0.574188
0.559399,0.556079
14.827058,7.988666
5.081630,6.451924
0.899367,0.923553
0.657407,2.074883
1.393971,1.364189
2.563331,2.740057
4.957297,4.926145
2.185199,1.125626
1.307544,1.994665
2.332317,2.146901
0.607051,0.709427
3.554340,3.638182
0.458775,0.304669
0.392793,0.399700
1.754701,1.552040
2.109581,2.193433
1.023425,1.054640
3.359397,2.694444
0.450203,0.453222
0.617060,0.627302
14.105297,8.909136
2.096749,1.972955
3.236502,3.266870
4.263527,4.068075
0.527156,0.530639
2.893210,3.141231
0.654073,0.869156
0.812692,0.750983
2.242608,2.548969
0.914171,0.925781
3.961028,3.492278
2.921459,3.141430
2.160436,2.035562
4.090116,4.211842
1.473825,1.235791
3.108028,2.604124
0.345187,0.361600
5.509160,5.780087
2.276037,2.179180
0.976573,0.880151
0.577780,0.598344
7.326209,8.641159
4.643865,3.309284
2.593243,2.286176
1.756528,1.858879
0.412352,0.417351
2.007497,1.877044
2.183862,3.076246
14.814372,10.068701
3.462587,3.895950
1.728509,2.330984
0.384367,0.391953
2.252960,2.506024
0.609865,0.578828
1.089497,1.084035
0.218411,1.037371
0.680747,0.814498
1.976760,1.730001
0.877952,0.956104
1.506403,1.726561
6.109558,3.475787
5.505642,6.179364
2.804095,3.825680
2.072042,2.077896
0.364091,0.370095
4.489797,3.996431
0.313066,0.317151
1.379614,1.366721
1.732266,1.795497
1.364400,1.346441
4.367343,3.491192
1.358460,1.285761
3.073847,2.531689
0.749740,3.962311
4.084623,6.405628
1.106696,0.999876
3.077247,2.921632
0.703952,0.725883
10.011873,6.413964
3.386877,3.180197
0.675418,0.650498
0.636574,0.634118
2.949919,2.049401
2.897818,3.057576
4.301460,4.237847
7.251819,5.436221
4.684948,7.725616
0.762640,0.773404
1.436224,1.524932
1.410815,1.333859
0.435281,0.413148
2.950037,2.750898
4.001463,4.485313
1.569173,1.498162
0.580173,0.601031
1.917986,1.972915
0.987384,0.968673
5.587436,7.242935
0.824071,0.953894
0.759866,0.771258
3.192487,3.006182
8.397429,7.386311
1.615763,1.608364
2.693952,2.703406
2.133740,2.184836
8.771461,1.108688
0.588010,0.418479
0.840820,0.870639
4.015531,3.330390
1.594293,1.788198
2.755707,2.478518
4.854837,4.299799
1.529588,1.328496
2.154499,1.627066
3.186491,2.709624
3.241355,2.951232
1.347779,0.834525
1.992504,2.044282
4.751689,3.728464
0.942917,0.949651
4.639436,4.723199
1.456356,1.431354
0.963672,0.922436
2.626987,2.149219
3.131489,2.919214
0.576104,0.598581
5.173599,5.441500
6.669775,7.638130
1.180557,1.173846
1.346303,2.372208
0.159853,1.100314
0.497307,0.545668
1.323870,1.337602
3.877959,3.894399
0.470097,0.444321
4.936131,3.572862
0.726993,0.717558
0.477151,0.477354
2.026006,1.907769
3.101556,3.049337
3.317198,3.169661
1.027385,0.931016
3.727243,3.537762
1.895894,1.942244
0.948846,0.864069
2.408310,2.183428
1.653008,1.644605
0.427725,0.265781
0.720170,0.492280
3.747887,3.991324
1.410959,1.291729
3.766238,3.040374
1.786461,1.665661
2.191201,2.466309
1.949140,1.566997
6.906562,5.450770
0.494448,0.495216
0.699458,0.744348
2.915427,3.328762
1.119325,1.115332
1.643443,1.623575
2.325919,2.346907
5.853720,5.262812
3.954329,5.118812
0.581085,0.544697
0.900249,0.839731
2.612396,2.594516
5.445584,4.538716
1.191438,1.137718
1.312878,1.283816
3.116365,2.958030
2.460514,3.006149
1.252343,1.200303
2.584467,2.737194
0.344878,0.283743
2.648131,2.723546
1.338669,1.458275
2.839948,2.865221
2.442691,2.555058
1.510108,1.337857
1.769852,5.380471
2.723554,2.783414
0.572709,0.532389
4.116342,3.850958
0.858500,0.728747
1.909909,1.952071
1532.556125,13.392474
5.497601,5.537785
0.370151,0.377886
0.785429,0.736588
4.448195,4.162884
2.295105,2.277152
2.768688,2.756474
6.489080,3.695055
2.172290,1.191893
1.139938,1.054528
2.373671,2.411470
1.789907,2.409075
6.153919,5.668871
4.128064,3.556024
1.105734,1.020023
1.558032,1.626903
0.438057,0.429498
1.215708,1.314479
1.764580,1.692157
1.677487,0.806584
0.952553,1.003292
0.501610,0.491324
0.387679,1.108572
3.788801,3.139687
0.647152,0.620624
1.621415,1.590795
0.859912,0.743899
3.649218,3.273375
4.150713,4.096439
6.382366,6.047059
15.586254,12.745454
1.084347,1.128105
0.756423,0.762480
1.889042,2.404708
5.144905,4.345100
2.085753,2.373577
2.017093,2.375146
4.265318,4.175487
3.093026,3.706248
4.314125,4.551108
0.616067,0.610758
0.461419,0.449991
0.294782,0.776940
3.252463,2.739667
1.885537,1.980724
0.347353,0.363402
1.358388,1.333118
3.152778,3.568343
0.448109,0.454347
0.455550,0.450730
0.792444,0.792624
3.018222,3.789849
5.132073,4.176376
2.004554,1.868776
1.675106,1.708271
2.513302,2.600965
0.999570,1.018529
11.006481,5.988850
2.178158,2.715148
12.584836,3.830570
1.166426,0.973148
0.628419,0.609157
2.418549,2.726800
2.987157,2.544458
2.208266,2.054932
0.969798,0.911198
0.801993,0.774521
3.255862,3.628707
3.554060,3.309617
0.674444,0.549451
4.198651,4.281793
1.591358,1.567374
0.677573,0.676038
2.132008,2.206972
2.141227,2.522585
4.306722,3.819054
0.534795,0.529976
1.821191,1.698656
0.483932,0.525956
0.370437,0.316363
1.658216,1.211942
2.991841,2.932729
0.621394,0.643001
1.871830,1.720197
2.560576,3.101350
1.230296,1.168049
0.905983,0.978885
0.875490,0.832859
1.654512,1.649894
10.916660,4.375460
5.907450,6.523116
0.312945,0.328654
2.552512,2.697998
3.449795,3.080613
7.369273,6.718416
0.577687,2.109675
0.389753,0.373794
2.674752,2.125904
4.315206,3.789712
17.247762,5.023785
1.722516,1.521245
2.440396,2.490499
0.440925,0.441901
1.078036,1.092333
7.469032,3.224064
2.761633,2.546219
2.035275,2.507292
2.197122,3.443327
2.157454,2.299943
2.211602,2.693814
1.518386,1.553230
3.533619,4.257435
1.967375,2.083500
2.346708,2.202610
9.440449,7.393813
3.342276,4.238417
6.718743,5.790353
3.420406,3.812744
7.506031,4.562981
5.895653,5.563023
4.966353,4.705037
3.574280,2.598018
0.368085,0.512029
1.207855,1.229110
1.026608,1.010379
0.715726,0.703974
2.685006,2.654627
1.335944,1.300824
5.307710,5.478765
1.358714,1.255298
1.009349,0.992892
0.889428,0.708149
2.765467,2.597385
10.975551,5.903123
0.911333,0.913822
5.584198,4.804772
2.095846,2.165400
11.024644,8.130521
1.161866,1.102357
3.624459,3.414718
12.099218,0.479399
8.015243,6.197145
0.403261,0.544070
0.804285,0.786610
3.381173,2.999317
2.556598,2.544759
2.402541,2.308529
2.331575,1.269167
1.232306,1.156839
2.936319,2.743387
0.734885,0.792570
0.338784,0.353472
7.408550,4.767315
2.322122,0.949556
1.041059,0.965338
1.182271,1.273814
3.404979,3.555216
1.968228,1.582789
0.450533,0.469665
1.725484,2.015132
7.511254,6.756869
1.820718,1.995797
2.433654,2.360822
0.476555,0.627021
3.340437,8.204120
3.489148,3.218931
5.078006,3.561130
1.098489,1.325375
0.532793,0.505409
11.699386,8.234265
2.278637,2.094489
4.490942,4.544125
5.258648,3.470986
1.420546,1.091217
3.504668,3.146006
1.068592,1.038504
3.133533,2.241458
7.476095,7.471949
1.151183,1.100987
0.943441,0.902279
0.867388,0.391820
0.740287,0.734760
0.863977,0.917079
2.404622,2.284795
1.579801,2.186171
5.000768,4.784096
6.038695,4.235505
1.452234,1.594532
4.254965,4.152381
2.953699,3.616694
1.646344,1.740845
3.430025,4.160221
1.665816,2.064182
0.869916,0.963696
0.572602,0.603004
2.717608,3.011862
6.339687,5.685420
0.931873,0.855857
3.939913,4.282098
3.119141,2.904121
0.448147,0.469459
2.723963,3.338824
0.585709,0.589086
0.955104,1.029392
0.370150,0.518400
2.761564,3.515041
0.916415,0.836865
0.912897,0.886937
6.946051,6.624110
0.438340,0.433598
1.518256,1.573270
1.780339,1.876964
7.206150,3.730963
2.121906,1.686213
0.742922,0.764297
0.497126,0.478766
0.604477,0.625304
2.092597,2.038650
0.325850,0.327344
1.010332,0.967827
0.807972,0.830699
10.336244,6.628726
1.781786,1.784662
0.579510,0.593742
3.387654,4.149687
6.366478,7.043291
0.622221,3.974924
1.483940,1.520146
0.660413,0.692894
3.017242,4.081061
0.513705,0.535434
0.813478,0.812865
0.073301,0.619155
1.644503,1.522387
0.601940,0.602167
3.484422,2.607807
1.428626,1.321723
1.167835,1.096662
0.934011,0.937200
1.028336,1.107063
0.863753,0.834836
5.681493,5.159931
1.514629,1.355773
2.472368,2.256566
3.305343,2.722607
5.101439,5.346515
0.398407,0.393678
1.969466,2.155149
3.296351,3.258958
0.790167,0.817581
1.731961,1.497483
5.491135,2.476607
5.755947,4.686217
0.973767,1.192411
1.253717,1.509604
1.398143,1.152718
3.210617,3.516573
1.093199,1.137517
0.501741,0.430866
5.463663,4.280269
2.652267,2.756375
3.478196,3.122819
3.399796,3.644614
1.658022,2.742558
0.639300,0.638221
1.893574,1.826843
2.979916,2.240807
1.998564,1.862971
1.775524,1.678725
0.342223,0.361712
2.490585,2.532048
4.323295,4.961208
0.614260,0.712357
2.370504,3.037719
0.371676,0.579508
4.118001,4.269955
1.965693,2.227855
3.205540,2.837517
0.870621,0.825659
3.196606,3.148620
0.896242,1.225380
1.232585,0.750440
1.842811,1.755976
7.313935,7.128028
2.767536,2.163581
1.275803,1.392402
6.125379,4.616321
0.463294,0.476791
2.276461,2.318955
0.933036,1.091359
4.650408,2.310186
3.188714,2.784319
5.518529,5.561109
0.758868,0.749852
13.009622,7.651844
8.423279,7.686789
1.713880,1.614306
1.352665,1.446880
0.674471,0.515562
0.825904,0.880924
0.453464,0.467700
2.109157,2.062139
1.048077,0.984947
2.162014,2.182442
2.397448,2.633657
3.943509,3.114647
0.452882,0.725898
0.532143,0.568527
10.476776,10.016175
4.272910,4.520948
3.151886,2.566777
3.142808,3.701058
2.875010,3.088849
2.301561,2.030761
0.454311,0.441183
1.150505,1.021458
0.606835,0.624374
2.016253,1.808023
1.624046,1.543868
6.595967,4.245011
4.963180,5.951415
2.829554,2.458318
4.437732,4.850925
2.161574,1.959323
2.397015,2.382476
2.727585,2.943361
0.998209,0.876305
0.837487,4.097385
0.642851,0.661601
2.425475,2.722537
0.427191,0.361055
2.205045,2.669289
0.903878,0.908784
0.767103,0.772027
2.839744,3.042379
3.164104,3.596040
3.246096,3.237823
2.930028,3.541163
4.339666,3.552738
2.713379,2.562820
0.400806,0.470892
3.623603,2.475324
2.376887,2.381187
0.641747,0.628613
0.990592,1.288389
1.820471,2.017696
6.684627,2.533264
0.748334,0.759336
0.912037,0.919653
2.556372,2.509667
0.436302,0.266724
4.133542,4.461558
0.667232,0.643627
2.710369,2.375535
0.599620,0.614586
0.933990,0.936038
0.663806,0.949368
2.248262,0.323618
0.741471,0.755562
0.944139,0.912312
1.359242,1.090454
1.608368,1.608313
1.902255,1.748591
0.876653,0.928302
0.681329,0.573076
8.818149,6.177258
0.590826,0.816838
4.059256,4.599601
6.893441,5.829896
5.128842,4.176607
0.962817,0.938570
3.347931,3.212183
3.060104,3.768598
23.053988,5.566147
1.572248,1.570620
0.428274,0.449570
0.689904,0.668196
3.538311,2.223709
2.014986,1.835068
1.983718,1.818740
0.436806,0.422863
1.147340,1.211547
2.874610,3.920905
12.016930,7.665121
3.840109,3.390085
1.812478,1.778305
1.012351,1.058471
2.091562,1.954591
4.190915,3.856613
0.607449,0.570804
1.310719,1.166046
1.414395,1.333521
0.795648,1.007179
0.911435,0.813347
1.629847,1.587955
7.224888,5.011996
1.843241,1.872496
1.967719,1.877401
0.751263,0.754493
2.688292,2.725867
2.685381,2.931287
0.650639,0.634905
0.854845,2.401123
0.801795,0.852588
2.373747,2.909292
3.221201,3.183522
4.777036,3.249467
1.652720,0.846882
2.735000,1.067816
0.818711,0.822723
0.820251,0.786214
4.476572,4.929761
9.145308,7.350304
3.662675,3.468222
1.315543,1.223142
1.602520,1.583732
4.088526,4.500578
4.732005,5.240369
1.388774,1.371860
11.134927,9.621679
4.185429,3.335560
2.020547,2.242440
2.720143,2.739021
0.604439,0.617449
3.616504,4.211946
0.599112,0.585406
12.184204,7.770951
2.135247,2.062094
0.748340,0.268926
0.866242,0.923348
1.145026,1.090338
0.481216,0.852028
1.114706,1.442272
2.694661,2.591002
24.438951,5.920477
2.473354,2.168233
3.149734,2.831312
1.860148,1.629072
2.357139,2.531568
12.416882,8.824270
2.238019,2.321513
2.313905,2.440043
1.156718,1.243740
4.331088,4.409066
1.156749,1.213661
2.262668,2.264957
0.764721,1.000147
3.225569,3.034181
0.596595,0.581389
2.613678,2.276177
2.661633,2.683586
3.206807,2.774992
1.542363,1.506042
4.099781,3.823479
